early_access,genres_encoded,metascore,año,price
False,1,63,2010,9.99
False,1,63,2010,9.99
False,1,83,2010,19.99
False,1,83,2010,19.99
False,1,83,2010,19.99
False,1,83,2010,19.99
False,2,83,2010,19.99
False,2,83,2010,19.99
False,2,83,2010,19.99
False,2,83,2010,19.99
False,8,67,1999,4.99
False,8,67,1999,4.99
False,10,67,1999,4.99
False,10,67,1999,4.99
False,10,71,2010,9.99
False,10,71,2010,9.99
False,1,72,2010,19.99
False,1,72,2010,19.99
False,5,65,2010,9.99
False,5,65,2010,9.99
False,6,65,2010,9.99
False,6,65,2010,9.99
False,10,65,2010,9.99
False,10,65,2010,9.99
False,1,63,2010,19.99
False,1,63,2010,19.99
False,1,63,2010,19.99
False,1,63,2010,19.99
False,2,63,2010,19.99
False,2,63,2010,19.99
False,2,63,2010,19.99
False,2,63,2010,19.99
False,2,62,2010,4.99
False,2,62,2010,4.99
False,3,62,2010,4.99
False,3,62,2010,4.99
False,5,62,2010,4.99
False,5,62,2010,4.99
False,1,84,2010,9.99
False,1,84,2010,9.99
False,1,84,2010,9.99
False,1,84,2010,9.99
False,6,84,2010,9.99
False,6,84,2010,9.99
False,6,84,2010,9.99
False,6,84,2010,9.99
False,5,80,2010,9.99
False,5,80,2010,9.99
False,5,80,2010,9.99
False,5,80,2010,9.99
False,5,80,2010,9.99
False,5,80,2010,9.99
False,7,80,2010,9.99
False,7,80,2010,9.99
False,7,80,2010,9.99
False,7,80,2010,9.99
False,7,80,2010,9.99
False,7,80,2010,9.99
False,1,77,2010,14.99
False,1,77,2010,14.99
False,1,77,2010,14.99
False,1,77,2010,14.99
False,1,77,2010,14.99
False,1,77,2010,14.99
False,5,77,2010,14.99
False,5,77,2010,14.99
False,5,77,2010,14.99
False,5,77,2010,14.99
False,5,77,2010,14.99
False,5,77,2010,14.99
False,6,77,2010,14.99
False,6,77,2010,14.99
False,6,77,2010,14.99
False,6,77,2010,14.99
False,6,77,2010,14.99
False,6,77,2010,14.99
False,1,67,2010,9.99
False,1,67,2010,9.99
False,1,67,2010,9.99
False,1,67,2010,9.99
False,1,67,2010,9.99
False,5,67,2010,9.99
False,5,67,2010,9.99
False,5,67,2010,9.99
False,5,67,2010,9.99
False,5,67,2010,9.99
False,1,68,2010,9.99
False,1,68,2010,9.99
False,1,68,2010,9.99
False,1,68,2010,9.99
False,1,68,2010,9.99
False,2,68,2010,9.99
False,2,68,2010,9.99
False,2,68,2010,9.99
False,2,68,2010,9.99
False,2,68,2010,9.99
False,5,68,2010,9.99
False,5,68,2010,9.99
False,5,68,2010,9.99
False,5,68,2010,9.99
False,5,68,2010,9.99
False,1,59,2010,19.99
False,1,59,2010,19.99
False,1,59,2010,19.99
False,6,75,2010,4.99
False,8,75,2010,4.99
False,10,75,2010,4.99
False,2,63,2010,12.99
False,2,63,2010,12.99
False,1,81,2010,39.99
False,1,81,2010,39.99
False,1,81,2010,39.99
False,1,81,2010,39.99
False,1,81,2010,39.99
False,1,81,2010,39.99
False,2,74,2010,19.99
False,1,93,2002,9.99
False,1,93,2002,9.99
False,1,93,2005,14.99
False,1,94,2003,9.99
False,1,94,2003,9.99
False,1,72,2011,9.99
False,1,72,2011,9.99
False,1,72,2011,9.99
False,1,72,2011,9.99
False,1,72,2011,9.99
False,1,72,2011,9.99
False,5,72,2011,9.99
False,5,72,2011,9.99
False,5,72,2011,9.99
False,5,72,2011,9.99
False,5,72,2011,9.99
False,5,72,2011,9.99
False,1,68,2011,4.99
False,1,68,2011,4.99
False,1,68,2011,4.99
False,1,68,2011,4.99
False,1,68,2011,4.99
False,5,68,2011,4.99
False,5,68,2011,4.99
False,5,68,2011,4.99
False,5,68,2011,4.99
False,5,68,2011,4.99
False,1,48,2011,14.99
False,1,48,2011,14.99
False,1,48,2011,14.99
False,1,48,2011,14.99
False,1,48,2011,14.99
False,1,48,2011,14.99
False,5,48,2011,14.99
False,5,48,2011,14.99
False,5,48,2011,14.99
False,5,48,2011,14.99
False,5,48,2011,14.99
False,5,48,2011,14.99
False,10,48,2011,14.99
False,10,48,2011,14.99
False,10,48,2011,14.99
False,10,48,2011,14.99
False,10,48,2011,14.99
False,10,48,2011,14.99
False,1,87,2011,19.99
False,1,87,2011,19.99
False,1,87,2011,19.99
False,2,69,2011,4.99
False,1,82,2011,4.99
